,tweet_id,favorites,retweet_count
1274,750041628174217216,3437,686
1275,750056684286914561,3382,988
1276,750071704093859840,8482,3715
1277,750086836815486976,2345,606
1278,750101899009982464,3293,935
1279,750117059602808832,4667,1437
1280,750132105863102464,3923,1403
1281,750147208377409536,3344,1072
1282,750383411068534784,4915,1270
1283,750429297815552001,14287,4813
1284,750506206503038976,4825,1279
1285,750719632563142656,14317,5605
1286,750868782890057730,5195,1550
1287,751132876104687617,5515,1449
1288,751205363882532864,6827,2035
1289,751251247299190784,13554,6535
1290,751456908746354688,3472,1102
1291,751538714308972544,5449,1407
1292,751583847268179968,4786,1241
1293,751598357617971201,8552,3360
1294,751830394383790080,6293,2171
1295,751937170840121344,5662,1494
1296,752173152931807232,6451,2054
1297,752309394570878976,0,18549
1298,752334515931054080,4143,1233
1299,752519690950500352,7990,3822
1300,752660715232722944,4788,1751
1301,752682090207055872,6525,1790
1302,752917284578922496,7444,1746
1303,753026973505581056,4219,1084
1304,753294487569522689,3694,1159
1305,753375668877008896,8254,2591
1306,753398408988139520,6274,2135
1307,753420520834629632,8582,3981
1308,753655901052166144,6335,2430
1309,754011816964026368,9544,4011
1310,754120377874386944,8503,2597
1311,754449512966619136,4078,820
1312,754482103782404096,5752,2162
1313,754747087846248448,2797,582
1314,754856583969079297,7457,2803
1315,754874841593970688,0,8946
1316,755110668769038337,23009,12333
1317,755206590534418437,17860,5995
1318,755955933503782912,7949,3205
1319,756275833623502848,6991,1705
1320,756288534030475264,45700,19410
1321,756303284449767430,4289,1202
1322,756526248105566208,11304,4050
1323,756651752796094464,5503,1476
1324,756939218950160384,7215,2234
1325,756998049151549440,6805,2215
1326,757354760399941633,4909,1586
1327,757393109802180609,6332,1944
1328,757400162377592832,16448,7591
1329,757596066325864448,4734,1181
1330,757597904299253760,0,324
1331,757611664640446465,4945,1244
1332,757725642876129280,4936,1364
1333,757729163776290825,0,9074
1334,757741869644341248,7474,3615
1335,758041019896193024,2945,423
1336,758355060040593408,3722,1207
1337,758405701903519748,5647,2144
1338,758467244762497024,5222,2480
1339,758474966123810816,4144,1103
1340,758740312047005698,6222,1781
1341,758828659922702336,12159,4270
1342,758854675097526272,3853,995
1343,759047813560868866,7082,2248
1344,759099523532779520,15792,4687
1345,759159934323924993,0,1308
1346,759197388317847553,6589,2168
